word_1,word_2,count
accident,horrible,2
man,excited,1
man,wounded,1
brain,swollen,2
brain,closed,3
brain,open,1
head,broken,1
cell,rich,1
cell,immune,2
man,old,1
man,young,3
man,strong,1
doctor,female,1
austrian,doctor,1
cortex,cerebral,2
cortex,frontal,11
time,recent,1
brain,right,1
brain,left,1
brain,human,2
cell,skinny,1
man,big,1
skull,fragile,1
huge,iron,1
iron,long,1
skull,extra,1
accident,original,1
man,important,1
accident,terrible,3
brain,experimental,1
brain,renowned,1
brain,noninvasive,1
brain,actual,1
human,skull,1
skull,electronic,2
skull,pierced,1
famous,iron,1
