word_1,word_2,count
father,dear,2
future,hope,2
time,experienced,2
man,free,2
feeling,gloomy,2
friend,beloved,2
nature,wondrous,2
friend,unhappy,2
being,real,2
world,remote,2
creature,glorious,2
friend,dear,4
man,brave,2
time,mean,3
creature,rational,2
glorious,spirit,2
future,happiness,4
life,peaceful,2
eye,intellectual,2
year,early,2
mind,capacious,2
human,nature,7
friend,generous,2
good,spirit,4
creature,interesting,2
day,present,2
creature,noble,2
day,well,2
human,creature,3
day,future,2
human,mind,2
evil,spirit,2
daily,fear,2
feeling,obscure,2
death,miserable,2
happiness,certain,2
creature,happy,2
year,young,3
time,long,5
eye,blue,3
eye,dark,2
capable,creature,2
future,misery,2
firm,hope,2
human,being,2
year,old,4
day,alternate,2
world,invisible,2
day,memorable,2
day,natural,2
friend,true,2
nature,good,2
human,feeling,3
man,wise,2
world,dark,2
night,dreary,1
eye,yellow,1
creature,open,1
eye,watery,1
friend,intimate,1
month,tenth,1
world,actual,1
day,early,1
man,invulnerable,1
death,violent,1
life,social,1
creature,deserted,1
creature,excellent,1
friend,kind,1
man,benevolent,1
eye,keen,1
man,single,1
time,bad,1
man,young,1
eye,expressive,1
eye,clouded,1
day,youthful,1
time,short,2
heart,light,1
eager,hope,1
feeling,old,1
being,necessary,1
spirit,wandering,1
happiness,faint,1
creature,thy,1
creature,spurn,1
life,harmless,1
night,sleepless,1
friend,pretended,1
nature,strange,1
friend,constant,1
happiness,little,1
fear,idle,1
feeling,prophetic,1
eye,nice,1
world,new,1
man,civilized,1
friend,good,1
