character,related,count
Victor,dear,9
Victor,own,4
Victor,assure,3
Victor,write,3
Victor,miserable,3
Victor,give,2
Victor,more,2
Victor,experience,2
Victor,see,2
Victor,beautiful,2
Victor,please,2
Victor,agitate,2
Victor,fear,2
Victor,look,2
Victor,certain,2
Victor,get,2
Victor,well,2
Victor,hope,2
Victor,confirm,2
Victor,come,2
Victor,make,2
Victor,wait,1
Victor,fix,1
Victor,tempt,1
Victor,few,1
Creature,see,5
Creature,live,3
Creature,great,3
Creature,bind,2
Creature,ask,2
Creature,feel,2
Creature,make,2
Creature,have,2
Creature,yellow,2
Creature,beautiful,2
Creature,hate,2
Creature,destroy,2
Creature,endeavour,1
Creature,gain,1
Creature,impenetrable,1
Creature,noble,1
Creature,godlike,1
Creature,engage,1
Creature,high,1
Creature,fraught,1
Creature,extensive,1
Creature,fulfil,1
Creature,enthusiastic,1
Creature,create,1
Creature,rational,1
